case_index,scenario,sentiment,urgency,emp_steering,frm_steering,emp_token_len,frm_token_len,emp_sent_len,frm_sent_len,emp_ttr,frm_ttr,rouge1_ef,rouge2_ef,rougeL_ef,rouge1_ec,rouge1_fc,emp_flesch_ease,emp_flesch_grade,emp_fog,frm_flesch_ease,frm_flesch_grade,frm_fog,emp_empathy_score,emp_formality_score,frm_empathy_score,frm_formality_score,emp_fp_singular,frm_fp_singular,emp_passive,frm_passive,style_disc_score,emp_entity_cov,frm_entity_cov,emp_placeholder,frm_placeholder,emp_cov_product,emp_cov_order_id,emp_cov_issue,emp_cov_urgency,emp_cov_sentiment,emp_cov_customer_name,frm_cov_product,frm_cov_order_id,frm_cov_issue,frm_cov_urgency,frm_cov_sentiment,frm_cov_customer_name,kg_nodes,kg_edges,kg_density,kg_salience
21,battery_issue,frustrated,high,kg_activation,kg_activation,57,39,2,2,0.9473684210526315,0.8717948717948718,0.12195121951219513,0.0,0.07317073170731707,0.05128205128205127,0.08695652173913045,32.66250000000005,14.665833333333332,14.600000000000001,40.42094827586209,11.223620689655174,14.075862068965519,0.0,0.0,0.0,0.034482758620689655,0.0,0.0,0.0,0.0,0.034482758620689655,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,6,0.14285714285714285,0.85
22,battery_issue,angry,high,kg_activation,kg_activation,109,92,4,2,0.9724770642201835,0.8913043478260869,0.2810810810810811,0.02185792349726776,0.1081081081081081,0.1132075471698113,0.09137055837563453,42.71600000000004,13.512,14.8,15.622439024390275,21.26585365853659,24.69268292682927,0.0,0.0,0.06451612903225806,0.06896551724137931,0.0,0.0,0.25,0.0,0.004449388209121247,0.0,0.0,0,0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,8,5,0.08928571428571429,0.85
23,battery_issue,neutral,medium,kg_activation,kg_activation,119,28,3,2,0.957983193277311,0.9285714285714286,0.1702127659574468,0.028776978417266185,0.0851063829787234,0.13392857142857145,0.11851851851851852,20.58605263157895,19.828245614035087,21.51578947368421,53.72461538461542,8.995384615384616,11.353846153846156,0.0,0.0,0.0,0.034482758620689655,0.0,0.0,0.3333333333333333,0.0,0.034482758620689655,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,8,0.14285714285714285,0.84375
24,battery_issue,polite,low,kg_activation,kg_activation,47,70,2,4,0.9361702127659575,0.9428571428571428,0.3018867924528302,0.07692307692307693,0.18867924528301888,0.12587412587412586,0.12121212121212122,53.29000000000005,10.795000000000002,13.0,53.877321428571435,9.657261904761906,9.474603174603175,0.0,0.0,0.0,0.06896551724137931,0.0,0.0,0.0,0.0,0.06896551724137931,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,6,0.14285714285714285,0.85
25,battery_issue,frustrated,high,kg_activation,kg_activation,95,55,2,2,0.9473684210526315,0.9818181818181818,0.2406015037593985,0.015267175572519083,0.13533834586466165,0.08187134502923978,0.057971014492753624,31.118888888888904,15.626419753086424,16.725925925925928,39.33200000000002,13.984000000000002,14.0,0.03225806451612903,0.034482758620689655,0.03225806451612903,0.06896551724137931,0.0,0.0,0.0,0.5,0.034482758620689655,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,4,0.13333333333333333,0.8833333333333333
26,wrong_item,angry,high,kg_activation,kg_activation,104,33,5,2,0.9038461538461539,0.8787878787878788,0.16393442622950818,0.016666666666666666,0.06557377049180328,0.09944751381215469,0.05042016806722689,55.08500000000001,10.047777777777778,11.200000000000001,47.79000000000002,10.320000000000004,10.0,0.0,0.034482758620689655,0.0,0.034482758620689655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,10,0.1388888888888889,0.7500000000000001
27,wrong_item,frustrated,high,kg_activation,kg_activation,56,20,2,1,0.9642857142857143,0.95,0.08333333333333333,0.0,0.08333333333333333,0.15568862275449102,0.04580152671755725,56.798846153846185,11.796153846153846,12.707692307692309,35.309411764705914,12.55764705882353,13.858823529411765,0.0,0.0,0.0,0.034482758620689655,0.3333333333333333,0.0,0.0,0.0,0.034482758620689655,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,6,0.14285714285714285,0.8785714285714287
28,wrong_item,neutral,medium,kg_activation,kg_activation,113,68,4,3,0.9557522123893806,0.9264705882352942,0.2155688622754491,0.0,0.10778443113772455,0.09216589861751151,0.10465116279069768,36.77410714285719,14.651309523809527,13.928571428571429,47.18408045977014,11.48103448275862,11.1816091954023,0.0,0.0,0.03225806451612903,0.034482758620689655,0.0,0.0,0.0,0.0,0.0022246941045606233,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,6,0.14285714285714285,0.8071428571428572
29,wrong_item,polite,low,kg_activation,kg_activation,113,61,2,2,0.7699115044247787,0.8688524590163934,0.30136986301369867,0.06944444444444443,0.15068493150684933,0.10679611650485438,0.10843373493975904,11.417500000000018,22.224999999999998,24.529411764705884,54.56000000000002,11.860000000000003,12.4,0.06451612903225806,0.0,0.03225806451612903,0.034482758620689655,0.0,0.0,0.5,0.0,0.06674082313681869,0.0,0.0,0,0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,7,4,0.09523809523809523,0.8214285714285714
30,wrong_item,angry,high,kg_activation,kg_activation,109,80,3,4,0.9174311926605505,0.9,0.31213872832369943,0.011695906432748537,0.11560693641618497,0.0861244019138756,0.11235955056179776,46.34882425742575,13.067400990099014,13.664356435643567,47.66964285714289,10.957857142857144,11.571428571428573,0.03225806451612903,0.0,0.03225806451612903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,8,5,0.08928571428571429,0.8374999999999999
